timestamp,flow_l_min,temperature_c,pressure_bar,ph,anomaly
0,4.08,24.59,8.04,6.97,False
1000,5.56,24.25,9.27,6.93,False
2000,3.87,4.81,7.91,6.85,True
3000,5.14,27.32,8.94,7.07,False
4000,5.07,24.18,9.23,7.05,False
5000,3.51,25.46,7.66,7.03,False
6000,4.92,27.11,9.14,6.98,False
7000,7.24,25.02,10.64,7.04,False
8000,6.69,26.2,10.37,7.12,False
9000,4.8,27.55,8.98,7.09,False
10000,2.81,23.57,7.17,6.95,False
11000,4.78,27.28,8.97,6.95,False
12000,6.13,27.45,9.96,7.03,False
13000,6.52,23.0,10.22,7.09,False
14000,5.12,26.55,9.03,6.95,False
15000,5.36,24.05,9.41,6.96,False
16000,6.42,23.89,10.31,7.09,False
17000,5.64,25.97,9.59,7.13,False
18000,6.94,24.17,10.65,7.18,False
19000,6.61,25.51,10.21,7.18,False
20000,2.79,22.96,7.11,6.94,False
21000,5.31,24.05,9.32,6.9,False
22000,4.55,25.73,8.55,6.91,False
23000,3.57,22.53,7.82,6.89,False
24000,4.5,24.62,8.46,6.91,False
25000,6.0,28.84,9.89,7.11,False
26000,5.63,26.77,9.63,7.12,False
27000,3.82,23.44,7.87,6.85,False
28000,4.4,25.84,8.52,7.05,False
29000,3.47,26.16,7.74,6.97,False
30000,5.37,25.61,9.07,6.96,False
31000,4.4,24.61,8.48,6.89,False
32000,3.76,22.17,8.06,6.87,False
33000,3.57,26.09,7.99,7.03,False
34000,5.19,24.87,8.96,7.06,False
35000,5.22,22.77,9.24,6.99,False
36000,4.07,41.78,8.31,7.03,True
37000,11.77,20.69,9.34,6.89,True
38000,4.13,25.64,8.36,6.96,False
39000,5.01,22.63,8.72,7.02,False
40000,7.18,27.88,10.83,7.16,False
41000,6.9,25.4,10.7,7.07,False
42000,5.53,20.15,9.55,6.86,False
43000,3.89,25.32,8.05,6.96,False
44000,3.05,25.71,7.5,6.86,False
45000,4.45,26.12,8.37,7.05,False
46000,4.58,24.61,8.89,7.07,False
47000,6.54,26.65,10.16,7.03,False
48000,4.95,23.91,8.79,7.02,False
49000,5.78,26.07,9.78,7.07,False
50000,3.86,25.27,7.87,6.95,False
51000,5.99,5.14,10.03,7.09,True
52000,5.41,23.35,9.19,6.98,False
53000,4.3,27.27,8.35,6.95,False
54000,5.13,22.0,8.87,6.92,False
55000,4.66,24.43,8.59,6.99,False
56000,5.96,26.86,9.79,7.0,False
57000,3.54,26.98,7.81,6.96,False
58000,3.67,24.21,7.94,6.98,False
59000,3.81,24.0,7.87,7.02,False
60000,6.35,24.26,10.3,7.11,False
61000,4.01,22.95,8.21,6.83,False
62000,5.85,23.71,9.86,7.08,False
63000,7.2,23.56,10.61,7.16,False
64000,4.15,26.49,8.26,6.99,False
65000,5.85,26.54,9.53,7.09,False
66000,6.47,25.73,10.37,7.1,False
67000,4.72,27.21,8.64,6.97,False
68000,4.04,24.61,8.31,6.87,False
69000,1.84,27.71,6.59,6.96,False
70000,5.37,26.59,9.19,7.13,False
71000,5.2,26.26,9.1,7.0,False
72000,4.41,23.99,8.53,6.9,False
73000,7.21,26.7,10.69,7.17,False
74000,5.3,24.39,9.34,6.99,False
75000,4.69,26.91,8.6,6.95,False
76000,4.88,27.05,8.92,7.06,False
77000,4.65,21.96,8.78,6.87,False
78000,5.6,24.04,9.61,7.01,False
79000,4.98,22.87,8.74,6.98,False
80000,4.22,25.62,8.51,7.01,False
81000,6.01,29.12,10.1,1.85,True
82000,4.31,25.32,8.55,6.9,False
83000,6.64,26.47,10.33,7.05,False
84000,3.5,25.71,7.76,7.02,False
85000,5.36,26.35,9.52,7.14,False
86000,4.5,24.41,8.42,6.96,False
87000,2.47,24.2,7.18,6.83,False
88000,6.36,24.96,10.14,7.04,False
89000,4.17,21.78,8.48,6.82,False
90000,3.69,25.53,8.0,7.02,False
91000,5.32,24.14,9.25,7.06,False
92000,5.23,25.03,9.27,6.92,False
93000,6.95,24.47,10.63,7.01,False
94000,3.62,22.62,7.69,6.83,False
95000,6.39,23.93,10.23,7.01,False
96000,5.0,25.05,8.83,7.1,False
97000,3.33,22.55,7.62,6.84,False
98000,13.49,23.15,8.98,7.0,True
99000,2.57,20.99,7.1,6.85,False
100000,5.36,21.8,9.25,6.94,False
101000,5.83,27.69,9.74,7.03,False
102000,5.55,24.77,9.21,6.95,False
103000,4.19,23.0,8.49,6.98,False
104000,6.38,20.49,10.19,6.9,False
105000,5.7,26.34,9.65,6.97,False
106000,4.65,27.29,8.93,6.96,False
107000,7.44,22.25,10.86,13.46,True
108000,3.63,21.4,8.01,6.78,False
109000,4.37,24.86,8.46,7.0,False
110000,5.07,23.31,8.97,7.05,False
111000,5.62,27.76,9.47,7.0,False
112000,6.52,22.1,10.32,6.92,False
113000,4.08,22.44,-2.15,6.92,True
114000,4.02,21.36,8.29,6.96,False
115000,4.52,22.34,8.46,6.95,False
116000,5.67,22.45,9.72,6.95,False
117000,5.59,24.31,9.59,6.99,False
118000,4.02,22.24,7.95,6.89,False
119000,5.13,25.83,8.99,7.06,False
120000,4.85,28.95,9.1,7.07,False
121000,12.24,24.56,9.28,6.99,True
122000,5.16,23.25,8.89,7.02,False
123000,5.39,25.34,9.51,6.96,False
124000,4.66,42.75,8.48,6.94,True
125000,5.41,24.59,9.11,6.92,False
126000,6.16,24.72,9.69,7.05,False
127000,5.53,22.3,9.28,6.97,False
128000,5.5,27.65,9.27,7.02,False
129000,6.03,23.57,9.96,7.04,False
130000,3.67,22.47,7.68,6.87,False
131000,5.8,23.06,9.83,6.91,False
132000,5.96,21.93,9.57,7.04,False
133000,5.72,23.68,9.79,6.93,False
134000,4.34,21.28,8.29,6.9,False
135000,5.12,24.01,9.08,6.92,False
136000,5.5,26.32,9.37,7.08,False
137000,16.34,23.53,9.7,6.97,True
138000,3.0,26.81,7.21,6.86,False
139000,5.77,25.84,9.65,7.05,False
140000,4.27,22.27,8.28,6.97,False
141000,3.8,22.92,7.99,6.95,False
142000,5.82,28.0,9.77,7.03,False
143000,16.43,24.45,7.94,6.9,True
